_id.courseId,_id.sectionId,_id.unitId,_id.%_complete,count
54,2,5,20,12
54,2,5,30,12
54,2,5,40,12
54,2,5,50,12
54,2,5,60,12
54,2,5,70,12
54,2,5,80,11
54,2,5,90,12
54,2,5,100,12
54,2,9,10,9
54,2,9,20,9
54,2,9,30,10
54,2,9,40,10
54,2,9,50,10
54,2,9,60,10
54,2,9,70,9
54,2,9,80,9
54,2,9,90,10
54,2,9,100,9
54,3,1,10,12
54,3,1,20,11
54,3,1,30,11
54,3,1,40,12
54,3,1,50,11
54,3,1,60,12
54,3,1,70,11
54,3,1,80,11
54,3,1,90,11
54,3,1,100,12
54,3,18,10,12
54,3,18,20,10
54,3,18,30,9
54,3,18,40,9
54,3,18,50,10
54,3,18,60,9
54,3,18,70,10
54,3,18,80,10
54,3,18,90,10
54,3,18,100,10
54,3,4,10,12
54,3,4,20,11
54,3,4,30,12
54,3,4,40,10
54,3,4,50,10
54,3,4,60,10
54,3,4,70,10
54,3,4,80,10
54,3,4,90,10
54,3,4,100,10
54,4,1,10,13
54,4,1,20,13
54,4,1,30,13
54,4,1,40,13
54,4,1,50,13
54,4,1,60,13
54,4,1,70,13
54,4,1,80,12
54,4,1,90,12
54,4,1,100,12
54,4,5,10,11
54,4,5,20,11
54,4,5,30,11
54,4,5,40,11
54,4,5,50,11
54,4,5,60,11
54,4,5,70,11
54,4,5,80,11
54,4,5,90,11
54,4,5,100,11
54,4,8,30,9
54,4,8,40,8
54,4,8,50,9
54,4,8,80,9
54,4,8,90,8
54,4,8,100,8
54,5,16,10,9
54,5,16,20,7
54,5,16,40,9
54,5,16,50,8
54,5,16,60,8
54,5,16,70,8
54,5,16,90,8
54,5,16,100,9
54,5,3,10,8
54,5,3,20,8
54,5,3,30,8
54,5,3,40,8
54,5,3,50,8
54,5,3,60,8
54,5,3,70,8
54,5,3,80,8
54,5,3,90,8
54,5,3,100,8
54,5,8,10,8
54,5,8,20,8
54,5,8,30,8
54,5,8,40,9
54,5,8,50,8
54,5,8,60,9
54,5,8,70,8
